COMMUNE_NL,COMMUNE_FR,COMMUNE_DE,PKANCODE,STREET_NL,STREET_FR,STREET_DE,HUISNR,LAT,LON
Lille,,,2275,Bersegembaan,,,8,51.2699297357,4.78854150062
Lille,,,2275,Kloosterstraat,,,52,51.2649972006,4.86422846162
Lille,,,2275,Kloosterstraat,,,16,51.26623244,4.86635607584
Lille,,,2275,Poederleese weg,,,85,51.2338461165,4.82979304608
Lille,,,2275,Doolstraat,,,39,51.2608922544,4.8683318002
Lille,,,2275,Pulsebaan,,,36,51.26092725,4.7847051661
Lille,,,2275,Valvekenstraat,,,45,51.2535857848,4.82232066734
Lille,,,2275,Molenpad,,,67,51.2751949077,4.86841478919
Lille,,,2275,Boskant,,,36,51.2408689776,4.8186135085
Lille,,,2275,Moereind,,,115,51.2538371939,4.78616007046
Lille,,,2275,Herentalsesteenweg,,,27,51.2247430683,4.83373664446
Lille,,,2275,Beulk,,,24,51.2637962465,4.78399085314
Lille,,,2275,Hoogland,,,25,51.2363431816,4.83727002883
Lille,,,2275,Kapelstraat,,,63,51.2473844065,4.82544106218
Lille,,,2275,Moleneind,,,34,51.2322821893,4.82572697595
Lille,,,2275,Poederleese weg,,,5,51.2377888893,4.82529020001
Lille,,,2275,Beek,,,71,51.2339926226,4.83455910121
Lille,,,2275,Rozenlaan,,,17,51.2653790579,4.86759771765
Lille,,,2275,Beemdenstraat,,,3,51.2832934918,4.90104931967
Lille,,,2275,Lichtaartsesteenweg,,,20,51.2251323097,4.83634469185
Lille,,,2275,Dorp,,,44,51.229380373,4.83498366339
Lille,,,2275,Veldstraat,,,29,51.2402902284,4.81702460704
Lille,,,2275,Beukenlaan,,,19,51.2286573981,4.81636141503
Lille,,,2275,Boonhof,,,56,51.2583101146,4.78823479089
Lille,,,2275,De Nefstraat,,,44,51.2690039962,4.87035941732
Lille,,,2275,Wechelsebaan,,,120,51.2482597006,4.81871948239
Lille,,,2275,Tielenbaan,,,22,51.2373177068,4.82781910987
Lille,,,2275,Beulk,,,93,51.2595911978,4.77962460847
Lille,,,2275,Houtakkerstraat,,,33,51.2716137001,4.86550474771
Lille,,,2275,Poederleese weg,,,39,51.2365262393,4.82676191115
Lille,,,2275,Bremstraat,,,8,51.2703340782,4.79127749094
Lille,,,2275,Wijngaard,,,41,51.2272131551,4.84039096962
Lille,,,2275,Turnhoutsebaan,,,11,51.2726564223,4.87793140548
Lille,,,2275,Lilsesteenweg,,,3,51.2310749215,4.83189219773
Lille,,,2275,Oevelenberg,,,31,51.2576767671,4.81957594875
Lille,,,2275,Heiend,,,124,,
Lille,,,2275,Zand,,,81,51.2629459935,4.80160907104
Lille,,,2275,Heikant,,,7,51.2300768299,4.83258061994
Lille,,,2275,Neerzand,,,12,51.2177681518,4.82729530814
Lille,,,2275,Groeneweg,,,63,51.2483940289,4.82731053985
Lille,,,2275,S. Daneelsstraat,,,25,51.2734081862,4.87015729245
